person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,credit_risk_score,credit_risk_bucket
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,99.20610375591005,High
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,4.732928616420376,Low
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,99.30005244441033,High
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,90.83169953244622,High
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,92.46490987010276,High
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,9.927901386336584,Low
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,58.41649326998651,Medium
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,65.71105508861399,High
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,41.934110645955336,Medium
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,44.34342234279243,Medium
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,32.35606164280821,Medium
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,82.52584346075572,High
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,15.83555034934903,Low
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,83.7863666914558,High
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,10.636608154912018,Low
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,1.633371904993138,Low
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,9.512478599526746,Low
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,93.76190568984175,High
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,86.43878300126858,High
