transactiondate,transactionamount,channel,location,deviceid,loginattempts,fraud_risk_score,expected_fraud_loss
2023-12-14 18:52:54,6.3,Branch,Columbus,D000539,5,100.0,6.3
2023-06-13 17:26:54,262.43,Online,San Diego,D000365,5,94.92715239681336,249.1173260349573
2023-10-18 18:32:31,611.11,ATM,Detroit,D000215,4,89.34143569839028,545.9744476964329
2023-07-31 16:21:15,58.32,Branch,Louisville,D000135,4,89.22647023746431,52.03687744248919
2023-01-06 16:13:53,83.07,Branch,Miami,D000182,4,87.97387033722309,73.07989408913122
2023-09-04 17:32:35,403.01,Online,Washington,D000677,3,87.8660019769421,354.10877456727434
2023-12-20 16:08:02,1176.28,ATM,Kansas City,D000476,5,87.07940950145753,1024.2976780837448
2023-10-19 18:06:08,1.93,Branch,Chicago,D000297,5,86.38456574724258,1.6672221189217817
2023-10-23 18:00:29,1531.31,Online,San Diego,D000319,4,86.21129757790538,1320.162220940223
2023-04-14 17:21:48,106.16,ATM,Phoenix,D000673,4,85.94252751350399,91.23658720833583
2023-12-21 16:21:27,1192.2,Branch,Jacksonville,D000174,5,84.24012985153315,1004.3108280899783
2023-08-30 17:23:20,973.39,Branch,Sacramento,D000292,1,84.13582735320063,818.9697298733195
2023-11-20 16:51:14,1392.54,Branch,El Paso,D000113,1,84.11457792957977,1171.3291435005701
2023-03-02 18:36:55,15.81,Branch,Oklahoma City,D000606,4,82.44788877196002,13.035011214846879
2023-02-23 16:51:34,10.15,ATM,Austin,D000531,5,81.3432948203609,8.256344424266631
2023-02-08 18:27:49,23.4,ATM,El Paso,D000079,4,80.38103863371731,18.80916304028985
2023-02-22 17:01:35,17.79,Branch,Jacksonville,D000409,5,79.88370905670162,14.211311841187218
2023-02-15 16:37:09,28.04,ATM,Los Angeles,D000101,5,79.76587131152317,22.3663503157511
2023-10-16 18:53:31,25.94,Online,San Jose,D000232,5,79.75187767817498,20.68763706971859
2023-01-17 17:25:13,827.14,Branch,El Paso,D000645,4,79.7082071904735,659.2984649552825
2023-08-28 16:08:54,119.3,Branch,Mesa,D000597,5,79.14679344482121,94.42212457967172
2023-05-10 16:15:31,39.21,ATM,Miami,D000059,4,79.13143876312449,31.027437139021114
2023-09-15 17:09:41,127.0,Branch,Nashville,D000024,5,78.80931201836766,100.08782626332693
