"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","DECIMALS_DISPLAYED","NA_STO","SECTOR","ACCOUNTS","INDEX_TYPE","PRICES","S_ADJUSTMENT","TRANSFORMATION","UNIT","IFS_FLAG","DOI","FULL_DESCRIPTION","AUTHOR","PUBLISHER","DEPARTMENT","CONTACT_POINT","TOPIC","TOPIC_DATASET","KEYWORDS","KEYWORDS_DATASET","LANGUAGE","PUBLICATION_DATE","UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","ACCESS_SHARING_LEVEL","SECURITY_CLASSIFICATION","SHORT_SOURCE_CITATION","FULL_SOURCE_CITATION","LICENSE","SUGGESTED_CITATION","KEY_INDICATOR","SERIES_NAME","2012-Q1","2012-Q2","2012-Q3","2012-Q4","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4","2017-Q1","2017-Q2","2017-Q3","2017-Q4","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1","2025-Q2","2025-Q3"
"IMF.STA:QGDP_WCA(4.0.0)","U150.B1GQ_S1_V.SA_PU.Q","OBS_VALUE","Europe","Gross domestic product (GDP), Total economy, Current prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Current prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","5980","5990","6020","6030","6060","6120","6170","6210","6280","6320","6380","6400","6440","6470","6520","6560","6590","6630","6700","6760","6850","6930","7000","7120","7190","7300","7410","7560","7750","7900","8030","8130","7960","7270","7990","8130","8350","8720","9000","9200","9400","9580","9750","9880","10000","10100","10100","10200","10400","10500","10600","10700","10900","10900","11100"
"IMF.STA:QGDP_WCA(4.0.0)","G200.B1GQ_S1_Q.SA_PU.Q","OBS_VALUE","Emerging Market and Developing Economies","Gross domestic product (GDP), Total economy, Constant prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Constant prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","13600","13700","13900","14000","14200","14400","14600","14700","14900","15100","15200","15400","15600","15700","15900","16000","16200","16400","16600","16800","16900","17200","17400","17600","17900","18000","18200","18300","18400","18700","18900","19100","19100","16600","18700","19300","19500","19300","19900","20200","20300","20500","20700","20800","21100","21400","21700","21900","22100","22300","22600","22800","23100","23300","23600"
"IMF.STA:QGDP_WCA(4.0.0)","U002.B1GQ_S1_Q.SA_PU.Q","OBS_VALUE","Africa","Gross domestic product (GDP), Total economy, Constant prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Constant prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","1400","1410","1420","1430","1440","1460","1480","1490","1500","1520","1540","1560","1580","1570","1580","1590","1600","1610","1620","1630","1650","1660","1680","1690","1710","1710","1740","1750","1740","1770","1790","1810","1830","1550","1760","1800","1790","1820","1790","1820","1870","1870","1910","1900","1920","1950","1960","1980","2000","2020","2020","2030","2030","2050","2060"
"IMF.STA:QGDP_WCA(4.0.0)","G001.B1GQ_S1_V.SA_PU.Q","OBS_VALUE","World","Gross domestic product (GDP), Total economy, Current prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Current prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","24200","24500","24700","24900","25300","25600","26000","26400","26700","27000","27400","27600","27900","28300","28500","28700","29000","29400","29600","30100","30500","30900","31400","31900","32500","32900","33400","33800","34200","34900","35400","36000","35900","32000","35600","36900","37900","38400","39700","41100","42100","43400","44100","44800","45600","46300","47200","47800","48600","49200","49700","50400","51200","52000","52700"
"IMF.STA:QGDP_WCA(4.0.0)","U019.B1GQ_S1_Q.SA_PU.Q","OBS_VALUE","Americas","Gross domestic product (GDP), Total economy, Constant prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Constant prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","6890","6920","6950","6970","7030","7070","7120","7180","7160","7230","7290","7330","7370","7400","7410","7410","7430","7440","7490","7520","7560","7600","7640","7720","7780","7800","7840","7840","7880","7930","7990","8020","7860","7170","7740","7870","7990","8130","8180","8330","8340","8390","8440","8490","8560","8590","8680","8730","8750","8830","8920","8950","8950","9000","9070"
"IMF.STA:QGDP_WCA(4.0.0)","G110.B1GQ_S1_V.SA_PU.Q","OBS_VALUE","Advanced Economies","Gross domestic product (GDP), Total economy, Current prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Current prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","11300","11300","11300","11400","11500","11600","11800","11900","12000","12100","12200","12300","12400","12500","12600","12600","12700","12800","13000","13100","13200","13400","13500","13700","13800","14000","14100","14300","14500","14700","14900","15000","14800","13800","14800","15000","15300","16000","16400","16900","17300","17700","18000","18300","18500","18700","18800","19000","19200","19500","19700","19900","20000","20200","20400"
"IMF.STA:QGDP_WCA(4.0.0)","G120.B1GQ_S1_V.SA_PU.Q","OBS_VALUE","G20","Gross domestic product (GDP), Total economy, Current prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Current prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","17400","17600","17800","17900","18200","18500","18700","19000","19200","19500","19800","19900","20200","20400","20600","20700","21000","21200","21400","21800","22100","22300","22700","23100","23500","23900","24200","24500","24800","25300","25600","26000","26000","23100","25800","26800","27600","27900","28900","30000","30600","31600","32000","32500","33200","33800","34500","35000","35500","35900","36300","36800","37300","38000","38500"
"IMF.STA:QGDP_WCA(4.0.0)","G200.B1GQ_S1_V.SA_PU.Q","OBS_VALUE","Emerging Market and Developing Economies","Gross domestic product (GDP), Total economy, Current prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Current prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","12900","13200","13400","13600","13800","14000","14300","14500","14800","14900","15200","15300","15500","15700","15900","16100","16200","16500","16700","17000","17300","17500","17800","18200","18600","18900","19300","19500","19700","20200","20500","21000","21100","18200","20700","21900","22600","22400","23300","24300","24800","25700","26100","26500","27100","27600","28300","28800","29400","29700","30000","30500","31100","31800","32300"
"IMF.STA:QGDP_WCA(4.0.0)","U009.B1GQ_S1_Q.SA_PU.Q","OBS_VALUE","Oceania","Gross domestic product (GDP), Total economy, Constant prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Constant prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","310","312","314","315","317","318","321","324","326","329","331","332","335","336","340","342","345","348","348","352","354","356","359","361","364","367","368","370","373","374","376","379","376","352","367","377","385","390","381","394","398","402","405","408","410","411","413","413","414","415","415","417","419","420","421"
"IMF.STA:QGDP_WCA(4.0.0)","G119.B1GQ_S1_V.SA_PU.Q","OBS_VALUE","G7","Gross domestic product (GDP), Total economy, Current prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Current prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","8350","8370","8420","8460","8550","8620","8720","8800","8850","8960","9070","9120","9190","9270","9320","9340","9410","9470","9550","9640","9750","9840","9960","10100","10200","10300","10400","10500","10600","10800","10900","11000","10900","9930","10800","11000","11200","11600","11900","12200","12500","12800","13000","13200","13400","13500","13700","13800","13900","14100","14300","14400","14500","14700","14900"
