customerage,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,credit_risk_score,credit_risk_bucket,total_transactions,avg_fraud_risk_score,max_fraud_risk_score,total_expected_fraud_loss,fraud_loss_score,enterprise_risk_score,enterprise_risk_bucket
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,99.20610375591004,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,84.65599933319449,High
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,4.732928616420376,Low,64.0,18.046440675654985,77.22141810930965,4042.4667310934165,66.01082999998857,29.24408916984766,Low
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,99.30005244441033,High,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,95.07428844758103,High
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,90.83169953244622,High,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,76.86146261854014,High
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,92.46490987010276,High,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,80.08722146632928,High
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,9.927901386336584,Low,64.0,18.046440675654985,77.22141810930965,4042.4667310934165,66.01082999998857,32.36107283179738,Low
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,58.41649326998651,Medium,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,71.72423727421597,High
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,65.71105508861399,High,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,64.03490859743602,Medium
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,41.934110645955336,Medium,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,49.76874193184083,Medium
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,44.34342234279243,Medium,64.0,18.046440675654985,77.22141810930965,4042.4667310934165,66.01082999998857,53.01038540567089,Medium
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,32.35606164280821,Medium,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,44.54597406533338,Medium
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,82.52584346075572,High,64.0,18.046440675654985,77.22141810930965,4042.4667310934165,66.01082999998857,75.91983807644887,High
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,15.83555034934903,Low,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,31.863773108681833,Low
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,83.7863666914558,High,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,86.94616132709754,High
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,10.636608154912018,Low,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,28.744407792019626,Low
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,1.633371904993138,Low,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,23.3424660420683,Low
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,9.512478599526746,Low,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,28.069930058788465,Low
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,93.76190568984175,High,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,78.61958631297746,High
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,86.43878300126858,High,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,74.22571269983357,High
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,31.99163202061416,Medium,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,43.80325475663612,Medium
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,2.696272958585398,Low,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,37.112020756086075,Low
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,71.35508569728881,High,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,78.30730839930811,High
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,98.1283534522518,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,84.00934915099954,High
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,5.407924727938821,Low,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,27.85303038103092,Low
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,93.79035393882408,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,81.4065494429429,High
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,89.30918465684047,High,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,78.19378633837191,High
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,99.26975789529894,High,64.0,18.046440675654985,77.22141810930965,4042.4667310934165,66.01082999998857,85.9661867371748,High
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,5.640496589890152,Low,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,25.746740853006507,Low
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,87.14638992008949,High,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,76.89610949632132,High
