date,actual_TOTBKCR,arimax_forecast,arimax_lower_ci,arimax_upper_ci,xgb_forecast
2024-08-31,17782.8275,17760.19810410046,17682.28021883929,17838.115989361628,17688.621
2024-09-30,17834.800675,17811.088488664587,17690.25322405835,17931.923753270825,17655.59
2024-10-31,17916.80736,17828.81495904122,17667.70660964551,17989.923308436933,17636.2
2024-11-30,17931.67365,17878.02543525446,17676.82403745628,18079.226833052642,17635.516
2024-12-31,17962.143625,17926.354612645675,17684.47158777578,18168.23763751557,17647.037
2025-01-31,17984.96144,17953.029619877856,17669.582816124483,18236.47642363123,17648.824
2025-02-28,18057.5261,17999.388698616942,17673.384300638652,18325.39309659523,17648.824
2025-03-31,18154.079175,18044.980123544858,17675.393896784797,18414.566350304918,17648.824
2025-04-30,18294.548459999998,18065.78432470185,17651.601035341977,18479.967614061723,17648.824
2025-05-31,18380.884175,18109.87836595146,17650.11163167256,18569.64510023036,17648.824
2025-06-30,18448.062074999998,18153.24225984405,17646.944489206853,18659.540030481247,17648.824
2025-07-31,18558.2218,18162.65061135282,17608.917645800397,18716.383576905242,17648.824
