transactionid,accountid,transactionamount,transactiondate,transactiontype,location,deviceid,ip_address,merchantid,channel,customerage,customeroccupation,transactionduration,loginattempts,accountbalance,previoustransactiondate,log_amount,high_value_txn,time_since_last_txn_mins,txn_hour,is_night_txn,high_login_attempts,long_txn_duration,fraud_flag,fraud_score,fraud_risk_score,fraud_risk_bucket,expected_fraud_loss
TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,2024-11-04 08:08:08,2.7140322727797574,0,0.0,16,0,0,0,0,-0.17994611095817847,22.605535083212043,Low,3.1851198932245772
TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,2024-11-04 08:09:35,5.932881589675684,0,0.0,16,0,0,0,0,-0.17746317788301735,23.263416687841236,Low,87.52627894633386
TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,2024-11-04 08:07:04,4.846467947882343,0,0.0,18,0,0,0,0,-0.2377364151432408,7.293330968805521,Low,9.210747680504493
TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,2024-11-04 08:09:06,5.22305488204749,0,0.0,16,0,0,0,0,-0.21225799873631668,14.044129706347158,Low,25.911419308210508
TX000005,AC00411,13.45,2023-10-16 17:51:24,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,2024-11-04 08:06:39,2.670694414558441,0,0.0,17,0,0,0,0,-0.16473619804988954,26.63557600959751,Low,3.5824849732908652
TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,2024-11-04 08:06:36,4.5342110970475975,0,0.0,17,0,0,0,0,-0.21725754563192623,12.719442397210123,Low,11.72096616902913
TX000007,AC00199,7.08,2023-02-15 16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,2024-11-04 08:10:09,2.089391872533004,0,0.0,16,0,0,0,0,-0.13171786370871252,35.384162508308215,Medium,2.5051987055882217
TX000008,AC00069,171.42,2023-05-08 17:47:59,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,2024-11-04 08:10:55,5.1499333607817785,0,0.0,17,0,0,1,0,-0.04318034186236419,58.84319470086476,Medium,100.86900435622235
TX000009,AC00135,106.23,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,2024-11-04 08:11:14,4.674976060232054,0,0.0,16,0,0,0,0,-0.24536018391591463,5.2733259659871665,Low,5.601854173668167
TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,2024-11-04 08:06:32,6.705590134053119,0,0.0,16,0,0,0,0,-0.22062806397705714,11.826384892153136,Low,96.49857016601273
TX000011,AC00150,17.78,2023-03-14 16:46:10,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,2024-11-04 08:06:45,2.932792473780117,0,0.0,16,0,0,0,0,-0.2110095096204634,14.374931221344237,Low,2.5558627711550055
TX000012,AC00459,190.02,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,2024-11-04 08:07:12,5.252378134606592,0,0.0,17,0,0,0,0,-0.24067484168124592,6.514761145379093,Low,12.379349128449354
TX000013,AC00392,494.52,2023-06-07 17:21:28,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,2024-11-04 08:08:38,6.205607716224892,0,0.0,17,0,0,0,0,-0.24745919495000407,4.7171689108270956,Low,23.327343697822155
TX000014,AC00264,781.76,2023-11-20 16:39:15,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69,2024-11-04 08:07:06,6.662826135596005,0,0.0,16,0,0,0,0,-0.21645182825428805,12.932926460305074,Low,101.10444589608095
TX000015,AC00085,166.99,2023-02-13 16:53:57,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,2024-11-04 08:10:09,5.123904453822123,0,0.0,16,0,0,0,0,-0.22411441896337103,10.902635140036137,Low,18.206310420346348
TX000016,AC00270,465.45,2023-12-12 16:23:31,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,2024-11-04 08:12:19,6.14515083340697,0,0.0,16,0,0,0,0,-0.2506664573058575,3.867367953143707,Low,18.000664137907386
TX000017,AC00317,555.8,2023-10-30 16:52:49,Credit,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26,2024-11-04 08:07:35,6.32220610902021,0,0.0,16,0,0,0,0,-0.2299704624011188,9.351009245587182,Low,51.97290938697355
TX000018,AC00359,492.93,2023-12-14 18:32:14,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,2024-11-04 08:11:51,6.202393806742613,0,0.0,18,0,0,0,0,-0.20873020175572077,14.978859990307738,Low,73.83529455022394
TX000019,AC00242,18.68,2023-02-21 16:56:50,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37,2024-11-04 08:12:01,2.9796028916241073,0,0.0,16,0,0,0,0,-0.20859203477814375,15.015468916188368,Low,2.804889593543987
TX000020,AC00285,71.48,2023-06-08 18:18:50,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,2024-11-04 08:09:20,4.283310661734724,0,0.0,18,0,0,0,0,-0.20388575238287054,16.262452431376172,Low,11.624400997947689
TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,2024-11-04 08:09:24,4.099663723699701,0,0.0,16,0,0,0,0,-0.20433341562033785,16.143838920627644,Low,9.576525247716317
TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,2024-11-04 08:08:13,4.463260939805398,0,0.0,18,0,0,0,0,-0.24110488359789317,6.400816605748943,Low,5.489980402750868
TX000023,AC00095,52.2,2023-06-06 18:54:15,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,2024-11-04 08:07:01,3.9740583963475986,0,0.0,18,0,0,0,0,-0.23446970023467162,8.158884562422273,Low,4.258937741584426
TX000024,AC00453,345.84,2023-05-02 18:25:46,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5,2024-11-04 08:07:04,5.8488635785089595,0,0.0,18,0,1,0,0,-0.02609641513988381,63.36977708763476,High,219.15803707987604
TX000025,AC00241,145.54,2023-03-02 16:43:56,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96,2024-11-04 08:07:09,4.987298428731818,0,0.0,16,0,0,0,0,-0.24591871835263368,5.125335858986176,Low,7.45941380916848
TX000026,AC00041,7.49,2023-10-20 17:53:13,Credit,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67,2024-11-04 08:09:44,2.138889000323256,0,0.0,17,0,0,1,0,-0.0035013223168330887,69.35660616163614,High,5.194809801506547
TX000027,AC00441,246.93,2023-04-17 16:37:01,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35,2024-11-04 08:11:38,5.513146448258161,0,0.0,16,0,1,0,1,0.018149545600857242,75.09325201399388,High,185.42776719815507
TX000028,AC00057,40.32,2023-03-29 16:42:38,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52,2024-11-04 08:11:59,3.7213466442514376,0,0.0,16,0,0,0,0,-0.24068288178295866,6.512630828187273,Low,2.6258927499251086
TX000029,AC00390,127.45,2023-01-24 16:18:32,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,2024-11-04 08:11:22,4.855539723555893,0,0.0,16,0,0,0,0,-0.22836578908741473,9.77618585025937,Low,12.459748866155568
TX000030,AC00313,56.17,2023-09-20 16:55:42,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69,2024-11-04 08:08:30,4.04602928527588,0,0.0,16,0,0,1,0,-0.04508841497644489,58.337628838216695,Medium,32.76824611842632
TX000031,AC00367,28.31,2023-07-17 17:49:22,Credit,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47,2024-11-04 08:09:17,3.377928754722801,0,0.0,17,0,0,0,0,-0.18932364319187073,20.12085033069887,Low,5.696212728620851
TX000032,AC00291,59.12,2023-02-06 16:24:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64,2024-11-04 08:06:58,4.0963425648847736,0,0.0,16,0,0,0,0,-0.15150867231517728,30.140360710676006,Medium,17.818981252151655
TX000033,AC00060,396.45,2023-09-25 16:26:00,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,9690.15,2024-11-04 08:11:13,5.985069140019122,0,0.0,16,0,1,0,0,-0.020208833627677114,64.9297593567438,High,257.41403096981077
TX000034,AC00359,877.81,2023-03-13 17:23:24,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,399.0,2024-11-04 08:07:50,6.778568719599104,0,0.0,17,0,0,0,0,-0.20524969213151817,15.90106094667028,Low,139.58110309596637
TX000035,AC00365,255.26,2023-10-27 16:42:49,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87,2024-11-04 08:10:51,5.54619255408143,0,0.0,16,0,0,0,0,-0.1752884341532901,23.839639989581823,Low,60.85306503740656
TX000036,AC00267,124.76,2023-10-16 16:32:56,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72,2024-11-04 08:06:23,4.834375328680896,0,0.0,16,0,0,0,0,-0.2505154103108707,3.907389587407808,Low,4.874859249249981
TX000037,AC00404,78.13,2023-11-21 16:58:44,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,900.61,2024-11-04 08:12:18,4.371092069621102,0,0.0,16,0,0,0,0,-0.2468042919630536,4.89069297083563,Low,3.8210984181138774
TX000038,AC00202,649.28,2023-03-02 17:53:32,Debit,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,4875.86,2024-11-04 08:11:15,6.477403039366023,0,0.0,17,0,0,0,0,-0.21072931157211272,14.449172908930175,Low,93.81558986310183
TX000039,AC00478,795.31,2023-10-12 17:07:40,Debit,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,7914.88,2024-11-04 08:11:17,6.6799885572656725,0,0.0,17,0,0,0,0,-0.11915441494879053,38.712992396048065,Medium,307.8882998250098
TX000040,AC00405,335.63,2023-01-24 17:17:20,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,55,Retired,216,1,1019.39,2024-11-04 08:07:32,5.818984404344884,0,0.0,17,0,0,0,0,-0.20952820001736355,14.767421195556174,Low,49.56389575864519
TX000041,AC00421,328.47,2023-07-31 18:39:50,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,63,Retired,119,1,4323.66,2024-11-04 08:07:31,5.797485302756558,0,0.0,18,0,0,0,0,-0.2532029196838148,3.1953031456040004,Low,10.49561224236546
TX000042,AC00480,34.02,2023-01-09 16:13:21,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48,2024-11-04 08:11:45,3.555919326857706,0,0.0,16,0,0,0,0,-0.14006422503561516,33.17269831803741,Medium,11.285351967796329
TX000043,AC00120,241.42,2023-04-20 18:57:43,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,13357.02,2024-11-04 08:09:03,5.490671759042366,0,0.0,18,0,0,0,0,-0.20847537705128683,15.046378719317898,Low,36.324967504177266
TX000044,AC00117,55.32,2023-04-12 16:03:37,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79,2024-11-04 08:08:03,4.0310497118497866,0,0.0,16,0,0,0,0,-0.21067780228896027,14.462820884460662,Low,8.000832513283639
TX000045,AC00011,304.31,2023-07-26 16:52:28,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,2024-11-04 08:09:53,5.72132765387195,0,0.0,16,0,0,0,0,-0.23770362770452008,7.302018376860553,Low,22.22077212262435
TX000046,AC00401,435.27,2023-10-04 17:49:29,Debit,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,4673.28,2024-11-04 08:11:12,6.078261317737981,0,0.0,17,0,0,0,0,-0.2286585529536042,9.698614705071058,Low,42.21516022676279
TX000047,AC00282,164.49,2023-12-13 16:01:38,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1,1509.27,2024-11-04 08:10:33,5.108910770030852,0,0.0,16,0,0,0,0,-0.2551873608643908,2.6695026875772054,Low,4.391064970795746
TX000048,AC00439,510.24,2023-10-09 16:29:40,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,781.7,2024-11-04 08:11:35,6.236839147263514,0,0.0,16,0,0,0,0,-0.23302515621378994,8.541633073818812,Low,43.58282859585311
TX000049,AC00296,626.9,2023-11-27 16:45:57,Debit,Denver,D000284,93.146.251.20,M023,Online,26,Student,138,1,265.51,2024-11-04 08:07:24,6.4423809181200635,0,0.0,16,0,0,0,0,-0.22404052874709762,10.92221320057053,Low,68.47135455437665
TX000050,AC00471,22.01,2023-03-27 16:45:18,Credit,Sacramento,D000304,124.6.134.78,M055,Online,41,Engineer,175,1,1335.09,2024-11-04 08:06:31,3.1359289040472746,0,0.0,16,0,0,0,0,-0.20482405571920825,16.01383819738248,Low,3.524645787243884
TX000051,AC00159,425.34,2023-02-13 16:59:39,Credit,Kansas City,D000661,139.23.212.102,M040,Online,69,Retired,121,1,3907.54,2024-11-04 08:07:07,6.055237150005048,0,0.0,16,0,0,0,0,-0.23862417911027095,7.058107720541415,Low,30.020955378550852
TX000052,AC00482,424.56,2023-02-21 17:45:55,Debit,Omaha,D000598,179.43.245.131,M015,Online,51,Engineer,264,1,5183.85,2024-11-04 08:09:02,6.053405948648165,0,0.0,17,0,0,0,0,-0.18528702244352985,21.19039930959178,Low,89.96595930880285
TX000053,AC00115,85.43,2023-06-07 16:45:34,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,67,Doctor,145,1,14904.9,2024-11-04 08:06:45,4.459334837764547,0,0.0,16,0,0,0,0,-0.15098081799884966,30.280221767790298,Medium,25.868393456223256
TX000054,AC00055,169.5,2023-09-07 16:51:27,Debit,San Diego,D000442,42.219.228.159,M036,Branch,28,Student,142,1,918.88,2024-11-04 08:08:58,5.1387352967235715,0,0.0,16,0,0,0,0,-0.25698010186638903,2.194495391215579,Low,3.719669688110406
TX000055,AC00419,104.63,2023-03-29 17:47:16,Debit,Omaha,D000642,186.135.2.148,M095,ATM,62,Retired,90,1,4477.78,2024-11-04 08:10:42,4.659942421835071,0,0.0,17,0,0,0,0,-0.24875488313773514,4.3738614602272445,Low,4.576371245835765
TX000056,AC00374,316.95,2023-08-04 17:53:40,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25,Student,83,1,1324.03,2024-11-04 08:09:15,5.7618941377134165,0,0.0,17,0,0,0,0,-0.25627200328996136,2.3821142329621123,Low,7.550111061373414
TX000057,AC00271,60.54,2023-12-14 17:52:37,Credit,Columbus,D000462,1.198.76.182,M095,Branch,57,Retired,52,1,3534.93,2024-11-04 08:09:57,4.119687369893896,0,0.0,17,0,0,0,0,-0.23213107152197177,8.778531070632347,Low,5.314522710160824
TX000058,AC00456,292.56,2023-03-03 17:37:41,Credit,Dallas,D000311,198.73.211.114,M075,Branch,68,Retired,61,1,4638.37,2024-11-04 08:07:49,5.682082047676862,0,0.0,17,0,0,0,0,-0.23624851805886105,7.687566371759878,Low,22.4907441772207
TX000059,AC00143,386.52,2023-06-09 16:18:15,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,5630.61,2024-11-04 08:07:09,5.959767460364727,0,0.0,16,0,0,0,0,-0.2366160920035228,7.59017343799413,Low,29.337538372534908
TX000060,AC00427,112.07,2023-10-02 16:35:22,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,23,Student,51,1,930.3,2024-11-04 08:11:37,4.728007095947154,0,0.0,16,0,0,0,0,-0.24061806563538335,6.529804610114503,Low,7.317952026555323
TX000061,AC00438,568.52,2023-10-06 18:44:37,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,46,Engineer,152,1,5499.91,2024-11-04 08:06:25,6.344793900795618,0,0.0,18,0,0,0,0,-0.2501027705420746,4.016723228312246,Low,22.83587489760078
TX000062,AC00002,263.99,2023-05-16 16:07:30,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,2024-11-04 08:11:03,5.5796920894251505,0,0.0,16,0,0,0,0,-0.08145171791895756,48.702754532196415,Medium,128.57040168954532
TX000063,AC00425,349.64,2023-11-07 16:48:23,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48,Engineer,226,1,6651.62,2024-11-04 08:08:09,5.859760056110554,0,0.0,16,0,0,0,0,-0.21955110244049492,12.111738207103642,Low,42.347481467317174
TX000064,AC00325,601.4,2023-05-30 17:43:25,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,56,Engineer,104,1,8458.29,2024-11-04 08:08:01,6.400921676485684,0,0.0,17,0,0,0,0,-0.2379408460976033,7.239164642037668,Low,43.536336157214535
TX000065,AC00434,5.77,2023-11-02 16:01:40,Debit,Charlotte,D000461,155.164.18.235,M071,Online,50,Doctor,124,1,13988.12,2024-11-04 08:11:32,1.9125010869241836,0,0.0,16,0,0,0,0,-0.12600740314251824,36.8972145506859,Medium,2.1289692795745765
TX000066,AC00242,201.33,2023-03-29 17:00:31,Credit,Nashville,D000098,145.246.171.225,M003,Branch,42,Engineer,186,1,2585.07,2024-11-04 08:11:41,5.3099000277911035,0,0.0,17,0,0,0,0,-0.23968367722215822,6.777381540314117,Low,13.644902255114413
TX000067,AC00319,298.42,2023-04-25 16:11:24,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,56,Retired,225,1,3014.75,2024-11-04 08:10:12,5.70184727002169,0,0.0,16,0,0,0,0,-0.21621180732331213,12.996522759695777,Low,38.78422321948414
TX000068,AC00460,521.06,2023-04-18 18:40:47,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,25,Student,128,1,1951.42,2024-11-04 08:12:10,6.257782523805988,0,0.0,18,0,0,0,0,-0.2477384572207656,4.643175168249454,Low,24.193728531680602
TX000069,AC00461,117.28,2023-02-09 16:34:53,Credit,Austin,D000128,46.150.175.171,M057,Online,60,Engineer,16,1,3665.77,2024-11-04 08:07:11,4.7730546949842765,0,0.0,16,0,0,0,0,-0.21421894237218275,13.524555192375507,Low,15.861598329617994
TX000070,AC00395,189.12,2023-11-13 16:42:28,Credit,Indianapolis,D000684,125.89.163.224,M040,Branch,32,Engineer,103,1,977.01,2024-11-04 08:08:42,5.247655451745809,0,0.0,16,0,0,0,0,-0.25674318473316765,2.2572693037817553,Low,4.268947707312056
TX000071,AC00217,133.55,2023-07-18 16:12:00,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,44,Engineer,220,1,3846.28,2024-11-04 08:10:18,4.901935877172915,0,0.0,16,0,0,0,0,-0.21958497935813953,12.102762129108273,Low,16.1632388234241
TX000072,AC00053,143.21,2023-01-13 17:00:16,Debit,Dallas,D000410,65.164.3.100,M066,Online,35,Engineer,135,1,6374.82,2024-11-04 08:09:26,4.971270570573979,0,0.0,17,0,0,0,0,-0.25877777902800686,1.7181802027308262,Low,2.4606058683308163
